書名,書籍網址,作者,出版社,ISBN,圖片網址
Python,https://www.books.com.tw/products/F017546613,"['Coding, Tony,Smith, Michael']",Mikcorp Ltd.,9781801571296,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python,https://www.books.com.tw/products/F017434577,"['Chamberlin, Eric']",Davide Cicatiello,9781801157032,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
python,https://www.books.com.tw/products/F017386990,"['Charles, Tony F.']",Tony F. Charles,9781801116039,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/738/69/F017386990.jpg&w=374&h=374&v=5fa8fffc 2x
Python,https://www.books.com.tw/products/F013609706,"['Cheng, Christopher/ Jackson, Mark (ILT)']",Candlewick Press (MA),9780763687731,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/360/97/F013609706.jpg&w=374&h=374&v=5dc31292 2x
Python,https://www.books.com.tw/products/F013737797,"['Cheng, Christopher/ Jackson, Mark (ILT)']",Turtleback Books,9780606379403,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python,https://www.books.com.tw/products/F016963713,"['Elite Publishing, Az']",Createspace Independent Publishing Platform,9781505549683,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python,https://www.books.com.tw/products/F012947880,"['Donaldson, Toby']",Peachpit Pr,9780321929556,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python,https://www.books.com.tw/products/F012816992,"['Cheng, Christopher/ Jackson, Mark (ILT)']",Candlewick Pr,9780763663964,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/281/69/F012816992.jpg&w=374&h=374&v=5dc34398 2x
Python,https://www.books.com.tw/products/F012455388,"['Allyn, Daisy']",Gareth Stevens Pub,9781433945601,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/245/53/F012455388.jpg&w=374&h=374&v=5dc4544b 2x
Python,https://www.books.com.tw/products/F012395812,"['Allyn, Daisy']",Gareth Stevens Pub,9781433945595,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/239/58/F012395812.jpg&w=374&h=374&v=5dc45364 2x
Python,https://www.books.com.tw/products/F011817239,"['Somervill, Barbara A.']",Cherry Lake Pub,9781602796294,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/F01/181/72/F011817239.jpg&w=374&h=374&v=5dc24243 2x
Python,https://www.books.com.tw/products/F011770393,"['Lutz, Mark']",Oreilly & Associates Inc,9780596158088,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python,https://www.books.com.tw/products/F012882623,"['Fehily, Chris/ Vick, Cliff']",Pearson P T R,9780201748840,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/prod/comingsoon_rec.gif&w=374&h=374 2x
Python 自動化的樂趣：搞定重複瑣碎&單調無聊的工作(第二版),https://www.books.com.tw/products/0010867440,['Al Sweigart'],碁峰,9789865025977,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/74/0010867440.jpg&w=374&h=374&v=5f33c4b4 2x
精通 Python：運用簡單的套件進行現代運算(第二版),https://www.books.com.tw/products/0010858475,['Bill Lubanovic'],歐萊禮,9789865024864,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/085/84/0010858475.jpg&w=374&h=374&v=5ebd1dc6 2x
超圖解資料科學 ✕ 機器學習實戰探索：使用 Python,https://www.books.com.tw/products/0010893222,"['陳宗和', '楊清鴻', '陳瑞泓', '王雅惠']",旗標,9789863126652,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/32/0010893222.jpg&w=374&h=374&v=60a78bcc 2x
Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式),https://www.books.com.tw/products/0010892834,['文淵閣工作室'],碁峰,9789865028060,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/28/0010892834.jpg&w=374&h=374&v=60a4daa0 2x
Python最強入門邁向頂尖高手之路：王者歸來(第二版)全彩版,https://www.books.com.tw/products/0010869590,['洪錦魁'],深智數位,9789865501532,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/95/0010869590.jpg&w=374&h=374&v=5f4e22b0 2x
Python：股票演算法交易實務147個關鍵技巧詳解(第二版),https://www.books.com.tw/products/0010885710,"['酆士昌', '劉承彥']",博碩,9789864345670,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/57/0010885710.jpg&w=374&h=374&v=603f6580 2x
Python零基礎入門班(第三版)：一次打好程式設計、運算思維與邏輯訓練基本功(附160分鐘入門影音教學/範例程式),https://www.books.com.tw/products/0010891947,['文淵閣工作室'],碁峰,9789865028190,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/19/0010891947.jpg&w=374&h=374&v=609516e1 2x
Flag’s 創客‧自造者工作坊 ESP32 × Python AIoT 大應用,https://www.books.com.tw/products/0010895947,['施威銘研究室'],旗標,4712946750876,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/59/0010895947.jpg&w=374&h=374&v=60d45eb5 2x
必學!Python 資料科學‧機器學習最強套件：NumPy、Pandas、Matplotlib、OpenCV、scikit-learn、tf.Keras,https://www.books.com.tw/products/0010888154,['石川聡彦'],旗標,9789863126157,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/81/0010888154.jpg&w=374&h=374&v=605c6645 2x
Python演算法交易,https://www.books.com.tw/products/0010897570,['Yves Hilpisch'],歐萊禮,9789865028640,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/75/0010897570.jpg&w=374&h=374&v=60ed6b33 2x
Python架站特訓班(第二版)：Django 3最強實戰(附影音/範例),https://www.books.com.tw/products/0010896875,"['鄧文淵', '文淵閣工作室']",碁峰,9789865028862,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/68/0010896875.jpg&w=374&h=374&v=60e430aa 2x
